startingAirport,N,precio_medio_real,precio_medio_predicho,MAE,RMSE,MAPE_%,R2,airport_code,airport,lat,lon,dificultad,color
LGA,4632.0,264.8094494818652,255.69925130073548,56.24388261892211,97.01364601143116,23.42000691863409,0.6953009162803193,LGA,LaGuardia Airport,40.7769,-73.874,Fácil de predecir,green
DFW,5252.0,272.8466869763899,258.87440960139145,60.20666632601974,92.74758316037159,26.282026333577225,0.582169937734891,DFW,Dallas/Fort Worth International Airport,32.8998,-97.0403,Fácil de predecir,green
ORD,5186.0,264.05440223679136,247.14921627072107,60.80365071758218,102.73045396647198,24.698733465338666,0.6122814057897145,ORD,Chicago O'Hare International Airport,41.9742,-87.9073,Fácil de predecir,green
BOS,5419.0,265.1330134711201,252.69323458898077,65.21994312563237,105.62830359795463,27.33331407480624,0.6156944398454169,BOS,Boston Logan International Airport,42.3656,-71.0096,Fácil de predecir,green
CLT,5288.0,319.5650699697428,306.85018749193404,66.46580185200656,103.380630314364,23.77701539802075,0.5363970459651978,CLT,Charlotte Douglas International Airport,35.2144,-80.9473,Fácil de predecir,green
EWR,3342.0,270.68073907839613,254.4051165114691,66.62897251523827,109.71310013688417,26.720273611705828,0.5985425040093629,EWR,Newark Liberty International Airport,40.6895,-74.1745,Dificultad media,orange
ATL,4988.0,273.0064133921411,261.4015530714505,67.39386217346132,102.3858486712677,30.359521376052932,0.6322137374075992,ATL,Hartsfield-Jackson Atlanta International Airport,33.6407,-84.4277,Dificultad media,orange
LAX,6993.0,306.8251522951523,299.9948419819429,68.6216147762178,98.43965656621093,26.283055493426502,0.5197075124040424,LAX,Los Angeles International Airport,33.9416,-118.4085,Dificultad media,orange
MIA,4484.0,274.70057091882245,269.31350152735104,69.2575727823787,104.64771149595876,30.403886758072144,0.6074764452392353,MIA,Miami International Airport,25.7959,-80.287,Dificultad media,orange
IAD,2836.0,337.37822637517627,310.8975769573909,70.22977940663915,107.15081174292527,21.293289484669458,0.6231348361708475,IAD,Washington Dulles International Airport,38.9531,-77.4565,Dificultad media,orange
