startingAirport,destinationAirport,route_od,N,precio_medio_real,precio_medio_predicho,MAE,RMSE,MAPE_%,R2,lat_origin,lon_origin,lat_dest,lon_dest,dificultad,color
EWR,BOS,EWR_BOS,178.0,147.14887640449436,130.638568259301,32.19661193785777,53.43139508339757,19.340762870356297,0.6601556101894434,40.6895,-74.1745,42.3656,-71.0096,Fácil de predecir,green
LGA,BOS,LGA_BOS,413.0,143.91399515738496,125.1103104406267,32.29442978340993,53.23777237287426,19.438562513572037,0.5377891763719134,40.7769,-73.874,42.3656,-71.0096,Fácil de predecir,green
BOS,LGA,BOS_LGA,446.0,154.73378923766813,130.89280007194262,36.41545376947175,56.95920087738498,20.948981623481984,0.4552166587468429,42.3656,-71.0096,40.7769,-73.874,Fácil de predecir,green
LGA,ORD,LGA_ORD,509.0,179.9192337917485,159.4648813066159,36.44890726585857,49.69285155977297,19.191612381508563,0.5109502871521439,40.7769,-73.874,41.9742,-87.9073,Fácil de predecir,green
SFO,LAX,SFO_LAX,312.0,141.62791666666664,129.62123802215115,38.19702996577182,61.16082178408385,34.23308395104669,0.4478429510752403,37.6213,-122.379,33.9416,-118.4085,Fácil de predecir,green
ORD,LGA,ORD_LGA,479.0,176.46770354906047,152.804894254205,38.62824809293144,64.41614260122297,19.044852837811117,0.30658011316762446,41.9742,-87.9073,40.7769,-73.874,Fácil de predecir,green
DFW,LGA,DFW_LGA,440.0,194.9841818181818,191.6963496878657,38.88413973421604,55.905910040387134,21.53712930461497,0.551003290136201,32.8998,-97.0403,40.7769,-73.874,Fácil de predecir,green
IAD,ATL,IAD_ATL,129.0,188.04527131782942,172.3348939212613,39.52557820148894,58.275088038240675,20.087371909967732,0.5660012301784738,38.9531,-77.4565,33.6407,-84.4277,Fácil de predecir,green
LGA,CLT,LGA_CLT,461.0,212.55208242950104,192.5698707901665,43.53989797085139,82.75025936148145,19.735399778879074,0.297658868353911,40.7769,-73.874,35.2144,-80.9473,Fácil de predecir,green
CLT,ATL,CLT_ATL,199.0,303.40427135678385,286.18592768886657,43.55247427629841,63.27695586392822,14.603783317395035,0.6842164978962292,35.2144,-80.9473,33.6407,-84.4277,Fácil de predecir,green
LAX,SFO,LAX_SFO,296.0,144.9719256756757,134.21349880679696,43.60112527036656,73.86050311949148,38.21433767201095,0.3377494800492209,33.9416,-118.4085,37.6213,-122.379,Fácil de predecir,green
BOS,EWR,BOS_EWR,149.0,162.8577181208054,138.91073794027,44.09447696553596,116.0651881982795,20.994532310943224,0.2230298239942763,42.3656,-71.0096,40.6895,-74.1745,Fácil de predecir,green
CLT,LGA,CLT_LGA,489.0,214.16715746421264,191.75677109604302,44.34600223389204,101.5678722441504,19.51356565384394,0.1781763966554154,35.2144,-80.9473,40.7769,-73.874,Fácil de predecir,green
ATL,CLT,ATL_CLT,188.0,287.58212765957444,269.18115758982265,44.452209525584585,64.42007971781005,16.20259203601049,0.6932277666034092,33.6407,-84.4277,35.2144,-80.9473,Fácil de predecir,green
ATL,BOS,ATL_BOS,379.0,216.212506596306,209.16467094573292,45.370146455849266,61.7222814864511,23.272248590265217,0.6648763839007028,33.6407,-84.4277,42.3656,-71.0096,Fácil de predecir,green
LGA,ATL,LGA_ATL,369.0,176.08582655826555,169.932315959325,46.120241290400614,60.89813028366405,30.847718646525557,0.534573779486702,40.7769,-73.874,33.6407,-84.4277,Fácil de predecir,green
DTW,IAD,DTW_IAD,113.0,195.68654867256632,182.28854491872593,46.35643478540176,76.09654586726472,22.820492300427304,0.5067291023559143,42.2162,-83.3554,38.9531,-77.4565,Fácil de predecir,green
EWR,ATL,EWR_ATL,240.0,194.323375,176.87625351297046,46.85952822863382,63.000766521754386,26.566702906201435,0.5786781283787905,40.6895,-74.1745,33.6407,-84.4277,Fácil de predecir,green
ATL,EWR,ATL_EWR,299.0,175.52511705685617,173.72395849893527,47.007511350123636,60.366638716855,32.071665069804546,0.5585159272787616,33.6407,-84.4277,40.6895,-74.1745,Fácil de predecir,green
EWR,ORD,EWR_ORD,342.0,189.43985380116953,167.7635410268757,47.126277186227135,69.48675842478369,24.51849392850282,0.49748059442016157,40.6895,-74.1745,41.9742,-87.9073,Fácil de predecir,green
